p_archivos,ej5-load,ej5-merge,ej6
1,362276740,26986223,355531182
2,183011045,157157769,235361597
3,127597495,200423325,189036596
4,98066259,224198615,168271739
5,105947474,221810540,163700528
6,97342783,256489666,163671237
7,109427495,270005288,158422923
8,116333932,231576054,155989605
9,115682006,229452942,154636132
10,120343434,280717752,149755373
11,120712773,283279684,150380104
12,125620397,229616257,147301841
13,116594341,229059513,151182543
14,126178864,231527579,149142398
15,132328919,283812522,144212304
16,113321145,232021272,152206043
17,130134776,231071254,151015954
18,124989790,230892506,147630160
19,133521703,234266033,149033637
20,136678483,287214421,141620868
21,131659659,282433719,147353893
22,131293720,262890211,146937399
23,136554862,282144106,148371924
24,144606713,285933397,147874707
25,148117472,287660898,144455611
26,142451754,283626654,140244114
27,141608749,283106025,145186761
28,146119050,292427236,145729552
29,146448470,291131699,144230997
30,153358851,240018249,145117544
31,162189682,286094871,145289726
32,156390996,285515193,147009898
33,162381294,292661129,131666294
34,174492948,279470113,142569444
35,161402240,271019571,142784893
36,172988329,287377891,142595596
37,170958671,248858085,141362560
38,181498201,284392837,142682762
39,183376875,281904207,127090892
40,174932721,254024720,140136367
41,187131621,287743500,142337281
42,178548982,256373421,138435298
43,170809290,294589706,142121443
44,174432606,286287097,139216089
45,181205146,296297628,137618838
46,165072212,293338522,138276529
47,173409371,286157427,140329087
48,168525206,254290693,139242919
49,180615820,247978624,137215064
50,171332380,255414467,138863198
51,203976874,292479644,138210153
52,186377002,290107192,123353755
53,175966323,248768193,140867201
54,173240972,298248317,137492872
55,188695014,256715616,140248776
56,184039522,294133151,139362874
57,172617169,290543405,137402716
58,179501906,255348852,139136404
59,189775146,277917742,135302511
60,170020576,294937669,139395784
61,187499237,278003657,131434054
62,170208371,293674888,116510716
63,191144883,253906320,135033860
64,179981525,263223231,140484885
65,174696289,305438732,132573044
66,188719822,255241106,136394208
67,193317490,297820122,128301707
68,197139637,280651600,132397031
69,187349305,296134700,134824521
70,169431630,296403731,139813023
71,178328770,293940657,137701518
72,201412502,291896684,136241493
73,194016486,274590740,132499461
74,190536918,286437269,128636459
75,181814880,293413432,134090682
76,168568916,288978466,136244631
77,166397487,265330242,134702203
78,193163439,298950732,135223238
79,198496150,296799355,123007051
80,197510687,298145853,131376203
81,197459079,285780164,137788469
82,196752247,298681988,134013464
83,186858871,298018526,139204120
84,169817543,295472501,130543859
85,190307124,295281417,134586375
86,173518505,259611989,127703665
87,188409099,300469285,131210967
88,183656436,256331092,136067634
89,202422694,263264582,125156964
90,171106130,313278760,127846933
91,196686497,259636995,130714960
92,186726481,265324834,122847961
93,161516406,254824722,130346038
94,187763046,295715967,140502253
95,178429124,294629981,133687162
96,187195720,273854425,133753998
97,174214275,259637575,139862974
98,200458672,296740059,129373788
99,173317184,295864297,133289467
100,186609416,298784497,127854432
1,359139753,26762821,354568878
2,181410535,157551532,231712078
3,125511301,202388510,187892700
4,96556995,223853626,171511041
5,105802841,264363051,165303101
6,105356677,225305179,160347352
7,108163747,230171592,159292675
8,109119237,275503090,154552015
9,111322761,278502204,153639003
10,120272925,233889273,151250039
11,120504905,287056333,150110948
12,122305415,229687265,147051515
13,128613979,288740482,144212052
14,132060899,255808933,144892307
15,131646902,319005586,150238295
16,135946715,314881363,148767885
17,132895178,241941984,153934292
18,138583753,257527479,150829395
19,148056897,314744108,147065966
20,143444197,257176913,151472727
21,141308064,267890043,152920705
22,144606645,311553049,143496884
23,144096861,259969833,143660710
