p_archivos,ej5-load,ej5-merge,ej6
1,136096599,6801715,57548569
2,25834324,14973430,16189241
3,10758161,14343289,12303392
4,6488488,13955803,10226471
5,8214583,14606999,10140161
6,6849732,14186831,9997016
7,7166904,14430047,9717493
8,7202791,15437640,10016932
9,8482723,15810131,9873626
10,7758725,16647130,9785166
11,8458762,14855345,9894061
12,8229995,14589197,9778608
13,9249848,16009049,10001707
14,8568485,15068895,9803942
15,9025670,16857837,9696971
16,8873895,16868524,9683153
17,10389843,16343240,9677279
18,9601554,16273474,9539164
19,8899578,16916024,9600121
20,9393026,16922568,9564615
21,10382369,16250906,9893793
22,9493290,16960970,9775158
23,8707577,16761815,9707365
24,8039490,14318327,9889363
25,12310690,17086201,9623667
26,12262517,17667267,9630930
27,10012217,16097827,9965663
28,9857355,17318003,11451575
29,9188579,14739843,9745278
30,11079006,17316553,9463238
31,9550616,15566420,9697889
32,10533365,18464824,9935894
33,12195175,17507337,10760028
34,12699566,18738645,10071889
35,8661278,14440363,9998200
36,8829608,16817119,9912437
37,12000143,16736665,11834220
38,9177556,15928457,9808503
39,13908482,20211847,9876319
40,12973415,17507349,10516008
41,8022956,14604263,10807047
42,9450689,17023038,9528592
43,8670464,14953111,9669758
44,9352792,15757226,10829788
45,10267967,17217784,9900254
46,14239953,17921060,9641735
47,14540227,18380221,9533856
48,12511016,16591332,10277280
49,11097947,18175050,9442692
50,11054735,17264624,10140320
51,13616650,18727471,11044784
52,12700942,17648545,9915720
53,9455369,15329115,11600323
54,10292416,16457421,10542859
55,9241454,15697222,11509996
56,15191084,19493412,10546204
57,9305507,15759101,9978599
58,9034653,14840474,11121528
59,8803538,15189567,9961763
60,11298560,16917146,11102807
61,12545177,17634370,9914345
62,12325851,17047718,10947136
63,13735823,17120435,33317731
64,9229526,17110544,10220512
65,8546851,15594916,10703020
66,9517023,15842464,10375452
67,9676012,17021728,11219917
68,11629279,17330576,10272271
69,9024089,15378542,10203071
70,8839792,14818582,10061647
71,11533445,17693544,10144792
72,9941695,17138633,10738709
73,9431932,15237395,12599353
74,9589888,17279897,10608489
75,9235538,15768579,10428702
76,15230436,18165032,11330724
77,8914731,15414896,11238476
78,9976209,14887155,10037015
79,13493348,16713914,11820381
80,16903051,18291815,10340066
81,11486065,17861122,10438288
82,10192262,17364968,9784383
83,11807149,16490749,10162354
84,13383001,18376759,11913321
85,18055334,19673762,11504634
86,9617655,17056272,10047184
87,8906244,17257941,10004967
88,17048639,19267510,11124720
89,13805671,17655092,11055967
90,10854201,16609344,10407767
91,14816084,18958228,10687009
92,16183928,19212845,11670006
93,9250751,14853552,11687604
94,10199462,17422050,11313241
95,18583429,18793498,11256178
96,10584403,16710437,10383851
97,10592497,15857972,10302906
98,8955810,15536952,10418160
99,12936705,16187084,12054802
100,10183445,15279310,10339279
1,147990211,12658882,61504632
2,27096008,16319444,19582182
3,11853979,14870389,13057275
4,7122708,14306945,11082558
5,7244223,14539476,10873637
6,7016863,14605444,10641539
7,7597600,15218382,10567161
8,8186055,16010754,10807093
9,9120952,15539896,10463576
10,8712204,15862740,10760805
11,8544242,16020991,10321718
12,7653985,16706309,10528254
13,8781601,14786036,10735352
14,8786905,15657263,10419614
15,9277336,16662972,10607120
16,8617230,17377829,10588541
17,9065426,16008243,10297824
18,9306348,15347168,10375249
19,9382510,16981682,10452129
20,10304226,17331122,10265135
21,9446565,15255104,10734351
22,11178266,18477885,10505442
23,11100199,17475036,10979886
24,8469042,15058931,10403855
25,9615757,14635088,10278147
26,8302760,14678945,10490123
27,8624882,15068218,10420365
28,9762732,17497645,10704958
29,9053691,15297254,10734188
30,10718935,17742687,11574274
31,10173346,17737017,10412260
32,11866664,17185288,10987555
33,13215656,19491945,10113420
34,14230245,19231689,11341470
35,10721692,17555749,10491026
36,10094340,16036990,10649568
37,14644088,18538062,10833116
38,13512430,17894356,10990866
39,10898166,17634928,11516867
40,9882995,16218486,10558839
41,9854374,15163554,11711901
42,11308747,17160591,10649864
43,10935915,17466660,10532763
44,13331628,18730903,10487809
45,12980400,18147762,10643437
46,9746381,17112056,10619029
47,12029846,18077774,10534715
48,10556455,16951476,10599400
49,14875387,18118725,11097091
50,14716077,18860262,10706527
51,9096518,15995844,11843357
52,10882598,15962638,10806877
53,14985455,18793663,10658838
54,9428763,16603515,10743546
55,13489031,18140156,11578867
56,11291001,16661202,10140908
57,11171582,16982490,10410644
58,12629412,17340288,11656283
59,11338858,18955274,11459353
60,13339778,18797765,11406316
61,9907103,15203081,10941093
62,11295471,16637791,10635746
63,16532174,20242365,38100488
64,18635562,20746674,12607016
65,10761891,17328390,11260392
66,16600532,18933272,11256874
67,9310638,17417419,11314059
68,10610377,17531391,10909330
69,8695509,15208179,10639231
70,14852859,19352529,12187043
71,9708796,14885642,11952597
72,12390213,17021572,11018366
73,10554619,16568459,11332092
74,18617046,18871968,10557621
75,10947071,16231077,11842194
76,11808176,18543834,11543043
77,12056338,19354526,10988226
78,11035064,17434154,10913114
79,10535660,14976357,11326476
80,10401741,16869773,11097421
81,11239858,17932194,11079817
82,10771742,17360401,11202156
83,11859917,17183500,10869588
84,11113983,17814117,11061480
85,12844018,18080916,10508370
86,11933556,18477425,10708430
87,16462538,19543539,11482637
88,9768841,15957358,11372306
89,14837260,19086086,10553022
90,10658200,16929711,12067409
91,15519613,20269066,11192997
92,14165457,18540013,10834660
93,10401602,17657694,11395433
94,9702679,15327287,12968071
95,10743268,16809067,10763127
96,10007566,17414878,11698319
97,17042064,19349833,11912273
98,12284712,19136795,11285245
99,13390880,18160777,10945259
100,10981920,16509105,11980049
1,144452655,11008743,56214829
2,25521426,15193214,19315918
3,11342065,13746389,11947304
4,6601443,13715459,10048719
5,6598487,14086973,9950869
6,6711357,14247759,9864480
7,7847776,16372218,9522498
8,7195228,13829772,9369789
9,9282173,14891708,9711813
10,9154367,15504954,9462653
11,7838956,16357568,9839399
12,8126161,15336488,9449366
13,7982518,13849728,9492254
14,8196552,16374485,9480170
15,8741631,15978429,9809600
16,8987041,16991787,9894231
17,8730526,15613400,9648682
18,8355670,16342218,9574718
19,9942964,16717121,9394512
20,9350229,15301010,9890066
21,9915311,15844563,9533480
22,8117962,16843935,9674282
23,8511614,15008787,10027802
24,9880826,16457296,10531076
25,10698267,16942071,9957823
26,9818227,17315875,9522495
27,11627917,17192616,10338865
28,12137252,16869259,9808628
29,12775619,18444302,10884032
30,8475054,14326627,10203963
31,10460238,16044467,9290241
32,7778554,14273642,10610632
33,8332862,14375107,9704138
34,11761746,15491776,10690608
35,12588072,16518465,10432298
36,9011493,14928063,9977902
37,11738671,16731237,10847485
38,8382217,16472321,9576964
39,8843373,14252572,10220397
40,9349049,14596541,10104319
41,8372296,14262856,10310647
42,9323709,15356832,9740452
43,13242651,17714865,9447214
44,10838186,16972738,10143711
45,10139006,14854556,9560578
46,9223829,14160376,10824971
47,10144879,16777596,11064248
48,10207039,16631962,10210627
49,11508820,17941987,10301819
50,9541967,15705004,9617820
51,11979885,16946193,10296148
52,13959194,17077285,9762380
53,13246069,17992800,10576201
54,12567488,17585633,10190467
55,9509832,15118631,9663587
56,15726888,18461972,10665369
57,9182126,15063878,9860113
58,9524007,16497488,12361752
59,9260200,15299067,10619834
60,8967117,15064486,9917615
61,8626203,14209856,9945054
62,16028944,18102139,9882551
63,11186503,16702071,40861976
64,9918713,16365985,11066073
65,10222308,16893649,11217863
66,13431037,17279061,12174034
67,12776597,15629184,9853797
68,9947921,14817691,9729337
69,16965372,19086136,9834565
70,20013074,18567083,10539817
71,15093936,18591402,10151600
72,9450580,15324121,11436410
73,11638438,16846265,9806076
74,9559163,15704370,9746884
75,9903985,14338252,10066036
76,12164528,17292163,10700360
77,16913569,19680906,10128393
78,9283022,14546910,9961247
79,16799170,18987486,10311806
80,10863075,16933777,11895581
81,12875906,17399101,10101004
82,11946315,17595202,10085312
83,18279821,18430373,10008007
84,12474314,17975817,10967309
85,12803586,17259148,10916700
86,9716690,16532044,10177756
87,9436827,15019090,10141030
88,9134435,15186633,10246153
89,9859369,15982724,9594401
90,9994666,14918592,10205436
91,11299685,15370404,10809189
92,10004885,15369030,11502903
93,14118722,18603153,11819061
94,23153534,18594989,10243556
95,9982512,15270929,10624295
96,9836755,16668416,11115747
97,17298508,19382580,10997568
98,11789283,17227671,10452393
99,9333431,14549688,10190615
100,9491974,14946799,10512452
1,147109962,13143515,57147451
2,26461030,14596638,16085950
3,10917524,14075054,12447375
4,6734201,14068450,10574633
5,6715489,14254212,10368966
6,7507860,14833544,10231096
7,7745620,15650876,9933906
8,7227101,15905107,9794657
9,8018037,16041066,9987815
10,7552735,15250553,9993441
11,9313524,16297363,10016604
12,8170532,14715312,10006758
13,8493235,16294217,10090075
14,9455727,16621950,9790363
15,9350837,16659777,9789379
16,8757701,16391380,9838570
17,8511989,16869518,10018818
18,9245059,14925494,9824399
19,8635474,15541475,10514632
20,8383913,14841248,10187680
21,9819323,15939661,9953115
22,9068141,15114482,9940635
23,8544747,17156170,9723312
24,8968286,16980538,10062482
25,10388136,16560363,9919245
26,8255173,16326195,9852326
27,9020416,14825761,10415891
28,8719453,15086652,10128880
29,10917232,16880390,10355936
30,10536806,18237198,10902496
31,9739919,17079518,9778995
32,9977258,17473688,10142927
33,11234503,17835245,9959164
34,11454342,17061336,10131670
35,13581051,17333387,9750026
36,11475387,16645360,9763272
37,10073872,17686264,10178951
38,10086623,17620598,10718766
39,9246735,18030956,9906024
40,11364065,15884960,12704551
41,9664744,16544443,11028470
42,14336095,19073939,10691368
43,13920466,18380379,10384788
44,9029109,15628650,10555442
45,12921453,16647390,13118930
46,9442814,18156799,9939543
47,13819371,18621683,11418078
48,9661928,17720289,9953625
49,9404864,14946726,10557938
50,9013178,15361571,11390030
51,13428253,17837892,10443171
52,15623129,18114000,10330896
53,12092157,18970172,9932410
54,9511199,15102407,10013544
55,8823806,14726863,10840771
56,17743651,19015234,11277011
57,13180315,17975024,10445432
58,8907932,16979425,10089412
59,8961491,14946627,11288111
60,11227986,18173833,10016481
61,10085996,15377091,10080780
62,10004805,16178063,30732255
63,12336319,17427315,10338629
64,11860105,18529271,10357299
65,14481072,18094855,10683466
66,12095075,18479072,10688649
67,9659777,16519854,10059059
68,14915247,18592180,10042210
69,15070803,19309528,10912452
70,10643751,17462930,10434413
71,9877598,17642611,10370314
72,8673378,17386313,11027781
73,10143126,17740228,10633325
74,9421565,16481095,11139167
75,9896814,16517106,10103933
76,9475995,15391306,10848320
77,10144192,15574355,10623462
78,9566458,17128898,11212050
79,11324724,18433790,10762216
80,12123350,17422295,10412110
81,9367477,14970927,11704366
82,9444780,15989577,11243369
83,9587398,17855787,10711875
84,9343809,14724075,11840435
85,9707426,16482004,9927480
86,9683960,16153302,12106455
87,10450950,16197876,11104784
88,16416381,19023785,10451289
89,10904130,14844628,10444268
90,9492152,15732163,10331762
91,9348862,17411167,10318352
92,12405393,17288232,10469662
93,15150072,20960779,11475120
94,14850707,18772909,10395418
95,15509686,19501902,11173139
96,16251329,19355142,10361776
97,14421645,17911033,10770354
98,12295181,18772638,13328623
99,14860284,19669141,10629735
100,12884912,19495641,12404009
1,145716992,15018615,59730179
2,26329534,16114246,17106995
3,10976985,14911541,12530638
4,6788402,15143919,10341483
5,10369565,15413206,10370001
6,7478792,15529190,10123982
7,7219145,15470163,9990705
8,8351266,16998015,9898655
9,7266927,15147484,9959287
10,8774537,16829963,10626358
11,7584241,15809283,10019993
12,8293425,17544388,9878083
13,9111355,17258341,10168912
14,8455062,16661283,9777024
15,9231254,15222278,11154223
16,9407625,17296230,10164465
17,8205298,17431083,9788818
18,9443155,16334661,10307520
19,8786532,16374725,10173257
20,8315447,15238650,9794333
21,10115886,18188181,10013024
22,9330641,17601818,10268519
23,8484178,15662944,11814304
24,9825923,17078985,11539679
25,8182831,17375092,9928075
26,10387421,18248971,10710702
27,9811219,16902401,9748854
28,12910985,20268797,10351872
29,10366183,16586057,11143244
