p_archivos,ej5-load,ej5-merge,ej6
1,256314881,53256591,251327048
2,118418357,154652700,148588508
3,73159047,183363207,111935935
4,51304147,195870478,95213797
5,46614114,197235577,91915391
6,78224185,205417055,90428379
7,74759761,204911471,91093192
8,81452002,207675950,89042941
9,91542061,207796153,87371236
10,85223279,207221104,88812920
11,91170212,210749886,86678303
12,88523484,212793449,93482774
13,84955477,210304776,85624661
14,85321670,212907735,86832082
15,73680216,211653851,87245408
16,69601017,213026476,85570145
17,73450869,210998730,85505788
18,71791772,215499693,84879242
19,71483276,212985592,83548799
20,63192619,215611359,83827274
21,54963739,214773840,83470390
22,61815488,212170898,83599502
23,56228283,213855645,84028682
24,59200457,212818346,83622276
25,51592783,214530332,83585899
26,56498593,216064367,82194317
27,49553266,211953401,82576795
28,53408284,214142408,84578547
29,56347798,213544319,83725424
30,56269374,211629529,83674377
31,45429267,212399248,83237359
32,59687060,213161696,83262997
33,57265546,219366060,83368405
34,54516661,212561297,82591921
35,61804954,212687952,82830482
36,48550120,215345573,93998830
37,56883799,217032596,82529343
38,58854353,211447102,82527155
39,56816950,215074556,82847036
40,53288172,213683606,83739248
41,51162199,211614109,82823503
42,53945299,211411053,82428520
43,54654658,214246547,82339415
44,62263248,215363818,82353809
45,54156693,217139196,83515384
46,54782848,214939307,83003517
47,46855353,214994559,81338763
48,49751328,214971165,82023597
49,54855027,213237440,82356396
50,62787313,213919499,82811629
51,42522131,212488107,81778138
52,54450603,214124496,82939002
53,49243707,216730122,83041134
54,52468555,216123066,82293448
55,46070712,215775063,82304364
56,63683158,211758684,82690936
57,50164669,213989511,82180609
58,50405163,212586672,82676319
59,57041675,213917699,82045748
60,57861410,213456199,81682243
61,43471916,212287939,81612033
62,40214085,213820352,82205752
63,43991245,213262880,82882205
64,57151585,213777466,83449409
65,43669588,215145851,82341415
66,43623474,212422825,81281577
67,47418794,212600823,81646199
68,44250095,216654422,81787653
69,37676213,213966849,82297009
70,35094489,212915933,81208422
71,41497105,214044925,82383776
72,44704785,215560682,82066895
73,41943616,214251103,83479651
74,45279748,213508023,83184571
75,39262039,214623876,82167194
76,30278272,215885614,82296273
77,41928929,216588671,82409625
78,45951958,215124140,83412024
79,42935916,213025551,81439009
80,50031492,215733050,81856221
81,45045635,215732259,81905509
82,23075224,215948316,82549909
83,41131908,216524174,86745939
84,47373817,217037995,89627678
85,28676235,216029043,83362210
86,40674148,213353415,93585506
87,43881644,218008296,97923539
88,42172279,221132947,93575829
89,54009543,244432838,83752264
90,55474013,228771801,83763546
91,41943191,218308570,83344674
92,45889124,220326504,83744092
93,39001016,214466347,83372046
94,38870360,212952260,85673652
95,39507156,218667369,106228076
96,33513204,250462356,86078276
97,46843376,220347760,119712237
98,47639469,223997989,87989391
99,46267858,222721969,89930768
100,51584090,222368555,89030929
1,246371450,50445114,243057775
2,115002939,149653948,140077864
3,72790707,176048590,113250128
4,47715330,187847696,98057437
5,62704680,191446264,92283903
6,79686696,198108748,95634132
7,86462148,193725411,89597686
8,57135068,198077398,86809149
9,95488032,197650318,85287885
10,88719470,211343799,112831096
11,81866578,198408828,86766699
12,78359772,202754513,88463181
13,77091672,202740161,102604091
14,66608897,200914206,162379310
15,83393238,201747843,94232778
16,64711178,205050996,89223164
17,71184562,202015444,108581362
18,90895252,210380877,84915338
19,61997651,207646402,96485703
20,72466611,207026598,104322054
21,60877340,220205545,138164441
22,60733347,209084318,106921009
23,63311212,204114021,102053811
24,59847215,204839728,93880225
25,58555370,204125717,89996059
26,64792889,204691150,87538806
27,58384258,204002821,84162479
28,48090711,206663898,79952383
29,55657774,203682841,80898798
30,51837929,202068487,80404013
31,57802372,204135624,80651754
32,58177296,206232538,90833513
33,57520926,212352928,95825952
34,43878866,200029335,79816513
35,62456691,203925111,79358351
36,50043755,198250943,80451511
37,49560318,203485006,79555755
38,49129078,201772443,79596517
39,49238806,202520211,80050820
40,53459682,202682509,79225075
41,49099282,199432642,80069827
42,59319412,199557884,78973629
43,53465001,201938586,79703198
44,48328882,205064864,79395151
45,51978824,203542885,79611282
46,53294791,204200533,80063181
47,57701019,204780399,79553533
48,51247153,201066929,80743073
49,52338529,200965819,79603149
50,48601250,201544033,80750751
51,45887244,202075232,79603178
52,49776014,200423532,79461477
53,38165943,202641090,79490237
54,50620900,201665289,79563880
55,51196472,201047868,79244675
56,44018310,202245478,79612386
57,48698098,204089857,78341027
58,44926484,202769491,79341207
59,50855692,202998933,79331610
60,46025339,205707275,79298391
61,41228763,201716266,79044607
62,47252396,202933825,79404322
63,51758119,203517482,80607032
64,44238195,200156199,79773981
65,38871017,201368793,79619177
66,33923714,201089323,79807504
67,48525126,205277766,79515621
68,55552880,202975544,78999343
69,49409450,203109604,79640955
70,39770788,199291380,79768896
71,47571437,201543367,79094530
72,39851665,203576210,79316781
73,24939559,203344355,78796896
74,44009007,204072526,80017233
75,43340944,206168620,79963349
76,38665643,206401420,80314343
77,44964469,202795397,79300673
78,43992438,201910084,79736293
79,45920200,201642359,79406291
80,38300802,205715289,92449033
81,36971724,207692189,79101374
82,32738621,202525415,80466817
83,39277238,202438648,80340307
84,38100987,200941939,80270724
85,25757643,204821841,79450003
86,37471891,203745583,79545843
87,41996831,203891661,80033072
88,31464330,203635626,80316987
89,42446206,204860435,79466957
90,38312713,213995078,81218942
91,37192305,205049859,80198013
92,45676725,200693500,81825608
93,37158172,203752194,79460782
94,44773424,211892471,80036547
95,38547094,200139257,79268672
96,34006625,218523432,82203126
97,35703741,221793050,83217792
98,37235191,221963012,83068763
99,26881825,221458110,82967660
100,21321026,223574584,83478100
1,268320891,53511484,264061864
2,120000223,159978859,151811246
3,73207773,191273884,115456642
4,51382445,241123338,123472095
5,78373098,270627091,119477573
6,89290182,273378930,117246984
7,101099197,276303295,116192306
8,103523210,277987534,114584784
9,108122783,278066350,114269569
10,98770984,278785747,113138124
11,103964091,279642288,111424801
12,76661185,316263842,157965322
13,110792288,392976985,156704156
14,98019872,394719332,156018484
15,87569259,398432366,154842969
16,93292939,397537515,154185492
17,86636654,392817899,151972879
18,88861178,393709086,125563195
19,78003473,322642075,124203204
