p_archivos,ej5,ej6
1,128627514,128273086
2,83470155,96982582
3,70987940,83424607
4,63618759,73732364
5,73955806,74916057
6,71760958,74446409
7,75830239,72064963
8,76004189,70163571
9,76481013,71218365
10,81128208,64665517
11,79596320,68881977
12,82726768,65511668
13,81774772,68030082
14,90080023,64264193
15,87794238,66517551
16,92586562,63299452
17,98904541,67845713
18,93769741,65280940
19,95669320,63705186
20,97023897,67558545
21,99843480,64121724
22,102917237,67371064
23,99737859,62657738
24,107544134,67476079
25,109292803,63905024
26,109382914,63659283
27,110571573,66941162
28,118564715,62771633
29,117665186,64468814
30,119554995,61854030
31,119695105,63762586
32,127708224,62404602
33,120859438,63067775
34,121268019,66153815
35,128255107,61382442
36,119543293,64314136
37,124132403,62558466
38,131763651,63126628
39,132259326,64527209
40,127606578,60032749
41,134588170,63290446
42,129704652,62895175
43,134187574,62830072
44,135601540,65823180
45,130498667,63982093
46,127512021,65781815
47,128937925,62445032
48,140912637,63457967
49,133721127,62803064
50,132513843,61209447
51,136623677,59903503
52,139116652,65090856
53,133676194,64026952
54,129855121,65250690
55,134296619,63244037
56,138860991,63831887
57,133574532,63157648
58,140963718,62093943
59,134755209,63234609
60,135367765,65722188
61,147501084,68323163
62,130784803,64630770
63,137436954,64971260
64,141476474,61482086
65,132927281,59660033
66,131110563,61345305
67,133780989,64351800
68,130657161,60977020
69,133490833,62692057
70,127242911,63343146
71,138946730,61061124
72,131833793,62212289
73,134659873,62481027
74,135327181,63904554
75,136742167,64341500
76,130243098,65575055
77,134381998,64418362
78,137867133,65569912
79,144112397,60883046
80,138296101,63324128
81,134259987,63933436
82,139879595,63410772
83,139711294,63519643
84,140183657,59770228
85,142195513,63873179
86,136418477,64025510
87,141533812,65722666
88,130574034,64018979
89,142040329,60002950
90,140684851,60601765
91,137026889,59963934
92,141268342,60814198
93,142245508,62814256
94,135714610,63804226
95,134431835,63547772
96,139127589,61752080
97,138575623,58621668
98,138591917,64033556
99,136017357,57226511
100,139287751,64022604
1,126987915,125647738
2,84634415,94794558
3,69114112,85007109
4,63501430,76903823
5,71106942,71212604
6,68370560,73231814
7,76682879,70646476
8,75561550,70247012
9,80987826,63877621
10,84556615,71085939
11,80101585,73605402
12,88289404,68635822
13,86251319,64977172
14,85972903,67644431
15,87937752,64540794
16,93097013,67649971
17,97813619,66901834
18,93080138,66053216
19,97042721,63576786
20,99327741,65087128
21,105241401,65035272
22,103612290,64993666
23,108109241,62316168
24,102190309,62369722
25,109275937,61936915
26,112162169,63772683
27,111398202,67078287
28,113028190,63778371
29,115211570,63023312
30,115835058,65012744
31,116928874,61998001
32,123788073,63438001
33,117329307,62647839
34,130017308,63498408
35,130500020,65752841
36,118814782,61113363
37,130904069,61514871
38,123126175,64709016
39,122201010,65557099
40,126704064,64913000
41,131701300,61163878
42,127562257,62937647
43,132787474,62057652
44,129189473,61759847
45,124920940,64536434
46,127873690,64185245
47,129964084,63171254
48,130959393,64445732
49,137306766,61325513
50,134747498,62622301
51,138074808,62737723
52,134862800,63041271
53,130960948,60189929
54,136516988,62088503
55,129061121,59039927
56,129469952,64666960
57,134317160,63648516
58,136397636,65843689
59,135249937,63373208
60,142724573,67023427
61,130071525,62038796
62,128602515,63616714
63,127586576,63932357
64,128719684,62370615
65,124119127,62429735
66,130014377,62796790
67,139796631,64474552
68,133518387,58646371
69,130840590,57184032
70,132506177,63473169
71,134365976,60006526
72,136511397,64216454
73,126322311,59650870
74,133942428,59283319
75,149892669,63740315
76,138546960,59924433
77,134693280,61211373
78,139302984,60912901
79,140835365,58827498
80,138333805,62273215
81,135761169,60178287
82,179251570,79125906
83,163704258,64719998
84,133168298,63902788
85,138235748,63326423
86,144192128,62480304
87,128189472,63467082
88,138182499,75070202
89,146094851,104830191
90,193639520,76048291
91,164404109,71857883
92,176193846,73013004
93,156998666,65912623
94,166863658,62464302
95,148032026,69954557
96,138582316,62071471
97,148840736,72246678
98,155938000,62816723
99,142557726,61890272
100,129480453,64093412
1,124969633,134781179
2,92020866,96190818
3,69006366,88593196
4,62773642,73483015
5,71589240,77901298
6,68350372,73405126
7,69624418,81532691
8,77098744,70156607
9,85891797,65762378
10,80852783,76834802
11,78816657,64494629
12,86921815,69565059
13,86550774,64877516
14,87221929,62352321
15,92349453,65639600
16,94277536,64050232
17,100370863,76413737
18,111828037,77306620
19,106132465,81852800
20,118081081,71402257
21,109017589,62815284
22,108332684,64614981
23,105179015,67639729
24,103497618,63127379
25,103601369,66353776
26,120219922,66030863
27,112666423,65928819
28,114766451,66335044
29,114059982,64634239
30,121423920,61972212
31,121298888,66348238
32,116470909,63040481
33,120817105,63657641
34,125092522,67232025
35,119045170,63566766
36,125813570,64047036
37,129322641,64785611
38,122921497,65528078
39,128191548,62454978
40,136237362,67637819
41,139768358,67374492
42,126288770,64235726
43,138459977,67450338
44,130413579,63267189
45,125139639,64579188
46,134484540,62026584
47,124718399,66849879
48,137782087,64073651
49,134413897,64382751
50,140980265,64008668
51,136590153,69460661
52,137334458,64288069
53,132527241,62637268
54,140536702,62420151
55,136458716,68178507
56,134627904,64831177
57,148617034,65491884
58,145963454,62310292
59,138031191,64623836
60,133783324,63057456
61,135940312,63845933
62,140144120,63546693
63,138442250,65334186
64,141982510,63407062
65,147392342,71662636
66,133919186,65716353
67,132990908,68481742
68,155282592,77529421
69,145407419,63420716
70,151141978,66020671
71,138206604,73335903
72,213670815,76761860
73,146302920,88495129
74,155574909,72539686
75,149936804,66620338
76,139793753,69429329
77,148756955,66886787
78,139322240,77015187
79,161898722,82916554
80,162647879,82455861
81,175625275,81573989
82,187039474,80730914
83,174894635,87001034
84,172384415,80447992
85,175981259,82579987
86,169555296,86926518
87,192801961,86477229
88,172131644,85800286
89,167620398,81805338
90,178088027,77832608
91,170096990,85424809
92,180739615,84292706
93,172052400,84201936
94,190997345,81321341
95,235732495,115326924
96,242896864,112109554
97,240552755,117390780
98,228298487,120564778
99,242647785,114931269
100,239137773,111830449
1,249662724,245777853
2,167164977,196279873
3,135811196,160606555
4,119334854,138532362
5,129362490,142686791
6,170912231,285625560
7,291480829,272511302
8,271597863,265090445
9,303602436,275455706
10,314914678,286586774
11,297818963,284885213
12,294915352,275072779
13,319680173,272751032
14,328236844,264524893
15,332260112,265844273
16,330617260,256572248
17,345737909,275917004
18,422160742,276970269
19,347553111,235386767
20,264879620,202701061
21,266820981,191510206
22,269472536,182554934
23,327465301,193873383
24,282280118,192329681
25,279669131,184722542
26,290419903,196515715
27,286422626,189138320
28,253283417,152585397
29,238342768,139701378
30,238754646,147314724
31,243356538,149007847
32,252105316,151887458
33,265487499,150439015
34,263539952,151798985
35,255292047,148528093
36,256607036,145376514
37,256959802,145980163
38,234666837,119686428
39,217734891,125999668
40,215950336,126020159
41,247778723,120654644
42,232877822,123806331
43,236103330,147031405
44,239777692,120173816
45,241028432,117583658
46,233820210,123387438
47,225511153,113788427
48,219808842,120293581
49,214681749,99572855
50,188133130,91756532
51,187977843,97715957
52,189503080,96894325
53,183544501,100959955
54,194581667,95593962
55,207975051,94692991
56,195565757,98434362
57,179265379,97959476
58,184276832,100390851
59,198727350,96796618
60,200287368,94613543
61,185298982,99752626
62,199759865,93008204
63,171957923,82913549
64,165028144,86258119
65,166061755,83887057
66,175293667,81229216
67,193395639,82473881
68,170568889,86907301
69,169855242,89137166
70,173977355,84024690
71,174448180,86465419
72,169303680,83615690
73,174199528,84987845
74,174093429,86720471
75,171578350,82166101
76,193149166,86955038
77,174108857,81095988
78,161685955,74516762
79,145794793,69255378
80,152124155,74293342
81,144425285,70653044
82,147931126,72227486
83,163351749,68904427
84,149258403,71796714
85,155082120,73024281
86,146397440,71889569
87,151119171,73033962
88,153293893,70966907
89,149781558,71676652
90,146895800,72165776
91,152840213,70221550
92,156603426,69606519
93,168918678,70038957
94,148141607,74083606
95,155508770,70112894
96,137042346,64295313
97,145289843,65782247
98,148894278,64763100
99,145124172,62028732
100,136258363,65300941
1,135723275,138333529
2,90035433,104978662
3,76689716,85428618
4,65295132,76986661
5,77727250,79579137
6,70636885,76666178
7,75595844,70905093
8,94069444,73317710
9,102575794,71972000
10,77074130,71154664
11,85208568,71893028
12,105240240,70005062
13,84516109,71805369
14,93951105,71024498
15,88922450,69093317
16,89112453,68752169
17,96753070,65938548
18,96007348,69319147
19,95234788,70038993
20,102556126,68543432
21,98977357,66204629
22,101796107,66064132
23,99933215,65941289
24,118454330,64325862
25,106719743,66390813
26,106593084,62984827
27,108751802,66634540
28,113444560,60622685
29,115758036,62563798
30,119522139,64751044
31,119212688,63183856
32,124554827,68451642
33,118850346,62410360
34,121393237,64356526
35,126733746,62312593
36,128332494,63563941
37,127538453,60370939
38,123899080,66089319
39,127269856,64349445
40,125711708,62393104
41,141670505,65359270
42,138162043,66820958
43,125537499,63418923
44,135460969,63256445
45,142126724,64923814
46,136968941,63332381
47,144684189,63599903
48,145094698,63463950
49,135885148,65521117
50,141304045,64892593
51,148257999,63112587
52,147518292,66379496
53,134674962,62184597
54,162872285,64503221
55,140407915,65270267
56,156384622,61547153
57,137575657,67051576
58,134525928,62996699
59,138708183,62380354
60,172345056,82875739
61,170450660,86339517
62,173210979,80372104
63,167201668,84347466
64,159713259,81634236
65,175809996,82114284
66,172750300,81445758
67,170559301,81843750
68,183158175,87431266
69,169407964,87396471
70,171561821,85060668
71,185771913,84748005
72,183756799,82808495
73,186621423,80893658
74,174098310,83210047
75,165229474,77103371
76,143761239,72885744
77,138961637,73603132
78,143413167,72095524
79,151668144,68001968
80,149033294,70860880
81,152557121,73953822
82,149811851,67203110
83,160043429,68202655
84,161625647,75836777
85,143646970,74837599
86,153655813,72482471
87,153084129,73167503
88,150137719,74224425
89,164132533,70392843
90,147561563,71060332
91,164455802,70218232
92,159083293,71330745
93,177671351,80474307
94,167263417,83672320
95,179115134,80503320
96,181160858,87436298
97,181344866,87453107
98,190819642,82651990
99,170506575,84367472
100,183486218,81812886
1,176493447,174250747
2,114721860,137388158
3,96716911,113790840
4,84727362,102471904
5,90132313,104026554
6,93511201,97006242
7,98901807,100523965
8,102749527,93315501
9,103676173,75876063
10,90636483,78469998
11,91662867,76052208
12,116297150,78629229
13,96003503,73366750
14,103563690,73752692
15,103738356,78113351
16,123016081,77590194
17,106323066,76918163
18,108116135,72755813
19,109300886,75230943
20,125114977,73265369
21,113760340,73484184
22,133056373,76939244
23,112451233,72100299
24,123418324,71931790
25,123491017,72236162
26,122498428,76248538
27,122237004,76700189
28,129685867,77213602
29,126712185,71260978
30,124857258,68319507
31,119015512,62938688
32,126814697,63385351
33,125548735,64430055
34,127506038,68216618
35,123826838,68001516
36,128457423,63981394
37,130012192,65119315
38,130086675,64327617
39,127412341,63078788
40,133697532,70461068
41,143184690,67788230
42,141480255,64261698
43,132774888,66564344
44,138763436,66734355
45,143591441,63715463
46,136103243,64666701
47,127936725,64578541
48,145505008,62537856
49,138851906,64955529
50,137516701,72441756
51,147040486,70822993
52,162590517,77301208
53,146416125,69492814
54,146379844,67396201
55,163471738,69998921
56,151548030,67353540
57,150282916,70849528
58,154843461,74204279
59,149587238,73098193
60,148617747,70058585
61,147357849,71351376
62,144340979,71790733
63,148005485,74785150
64,151965205,73895296
65,139419624,69634902
66,141513993,73749396
67,150409286,67154075
68,148160870,91932284
69,196308103,98146882
70,193582239,95039354
71,196453447,92682551
72,198200273,94766600
73,203674960,94872970
74,204307710,93967633
75,190847775,95020328
76,196978598,93196772
77,220883709,92364944
78,190138744,100374667
79,199219038,96255398
80,187129498,96450422
81,201405529,99911783
82,171070494,87033966
83,181917782,79245425
84,170950868,82303182
85,202538753,78544093
86,175599286,81154224
87,174392927,86286858
88,167948121,84437449
89,163442378,81983668
90,169434953,84635343
91,166576815,79471104
92,166566589,84391791
93,165405427,83828140
94,168234194,83120507
95,166898236,79486389
96,174811728,82208643
97,173088331,74762113
98,177385676,73735151
99,154216678,69008862
100,164663403,70930880
1,150517555,162827805
2,98944845,109641710
3,80611581,100135943
4,73410457,83325546
5,76436032,83051167
6,80634093,81738810
7,86723981,78003374
8,108304525,80326176
9,106601076,76434356
10,94839412,79165615
11,108598737,73594254
12,109110911,78463659
13,98454304,72161105
14,99547834,73127116
15,101448074,71684052
16,104175184,77855041
17,104687914,73659413
18,113265604,89368418
19,124735969,85474735
20,153038051,88911311
21,128956586,84754267
22,127654082,90768950
23,146154887,90096647
24,137817445,88919561
25,139511261,82251641
26,169582257,83825468
27,167062295,86583372
28,161140491,87309737
29,164660249,81711692
30,166221032,89104181
31,158224837,80851077
32,155431193,83841577
33,148511519,82259109
34,154077558,86192088
35,162463547,73746610
36,140810526,74698018
37,136512237,77420728
38,145762734,75990131
39,146538957,76044517
40,144262737,75467770
41,144859692,72209919
42,165339760,71167974
43,157210350,73901989
44,157300861,71777606
45,140065044,70217647
46,153445080,72563824
47,146991281,75445470
48,147339617,71904137
49,166413836,71945780
50,140286733,71322448
51,148097519,74640233
52,159180751,71699966
53,159957141,81777571
54,177185122,81165039
55,184840464,87058034
56,191811084,86604178
57,181523052,83956595
58,179916609,82016045
59,204346689,83145608
60,201922322,82378640
61,169440738,80398672
62,176381621,80371302
63,181971799,82759116
64,191535830,82012133
65,169631458,82937172
66,174788748,80358767
67,168444879,83380620
68,168259372,74384973
69,157292860,72516452
70,152774726,68867286
71,153685418,69444341
72,154233103,71041008
73,149969961,70583108
74,145437277,69391739
75,147123011,73690399
76,147388645,74581311
77,168200805,67970677
78,162610390,74259287
79,166738366,67931040
80,165826854,69814297
81,149127951,68637210
82,155569283,74744301
83,148472801,74441042
84,172306343,74831672
85,164701757,82149047
86,170416030,80511818
87,165281329,78863508
88,197686154,81986611
89,179364800,86923113
90,167378843,81833794
91,168588911,80371786
92,166673690,80771869
93,184784179,84156007
94,184421123,84824429
95,195483968,81889935
96,186003397,79754093
97,185161119,86858481
98,161549168,85067457
99,183964978,80235154
100,172531045,74206290
1,150916734,150986808
2,100713869,114667878
3,81709459,95684063
4,73617649,88196328
5,74832435,81242810
6,77065214,81843773
7,78855764,79273338
8,91070895,80038828
9,85903360,80179690
10,92693966,76327684
11,96017508,77814927
12,97564753,77157990
13,98281331,73613418
14,102332165,79680655
15,118348146,73035029
16,103748283,76133348
17,103098796,74927564
18,105201800,70678175
19,112009656,72421149
20,116664039,72424861
21,111050164,73144203
22,118335216,84988403
23,133860138,84310856
24,137402551,88817962
25,162866027,86731028
26,139494835,88989274
27,147012683,89005641
28,146240223,81899981
29,145966574,82163250
30,151949076,83509311
31,156322161,87843059
32,156218177,85068809
33,162700927,82802505
34,159931216,83072038
35,157475450,82013231
36,161806153,86071501
37,161090452,81850037
38,165942310,82975171
39,147787934,74160630
40,145544402,70612266
41,150901035,69782516
42,143745918,73534521
43,134607553,74237198
44,152583130,72197262
45,141099108,70524448
46,145006823,73298980
47,155657126,73579486
48,138673604,74799895
49,148008221,69933210
50,153448858,67260887
51,143879002,75375086
52,148643209,71108063
53,148592875,71364949
54,144311685,73701684
55,154691863,70188040
56,142039424,72924963
57,164642389,82919925
58,176917768,80355765
59,167830920,81946098
60,171334391,83456874
61,171911163,82346473
62,165190991,85711318
63,178378303,81098759
64,178482127,88745274
65,177162231,79326623
66,177251749,86908785
67,172132662,81495964
68,167879205,79392609
69,173340909,87157978
70,161901660,85085205
71,165788581,85520827
72,179058645,74309026
73,150038129,70630589
74,151107233,72092406
75,150089645,68797367
76,165934485,71248070
77,146573581,72903106
78,149946357,70366651
79,153910631,75264968
80,151185334,66447296
81,154192675,72024607
82,150963394,68766221
83,159964003,73093296
84,149789357,73470900
85,175617017,69452593
86,147453834,70669666
87,149345683,68426575
88,148263348,74583918
89,145344187,71231659
90,152425146,61143117
91,138574595,64846797
92,139634286,62847444
93,133272215,65919693
94,137046482,60858071
95,143781061,64550084
96,138572250,62391481
97,149732660,65376289
98,136163209,62252469
99,149464059,66185648
100,143220183,66223703
1,143073877,136198357
2,88813378,105488728
3,74479538,86329160
4,64777400,79941686
